CoronaDataObject{Province_State='Missouri', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=445019.0, Deaths=5747.0, Recovered=397080.0, Active=4684.0, Total_Test_Results=3665980.0}
CoronaDataObject{Province_State='Montana', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=81555.0, Deaths=961.0, Recovered=74991.0, Active=5603.0, Total_Test_Results=791589.0}
CoronaDataObject{Province_State='Nebraska', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=167716.0, Deaths=1668.0, Recovered=107694.0, Active=58354.0, Total_Test_Results=1755820.0}
CoronaDataObject{Province_State='Nevada', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=227046.0, Deaths=3143.0, Recovered=0.0, Active=223903.0, Total_Test_Results=2095778.0}
CoronaDataObject{Province_State='New Hampshire', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=45932.0, Deaths=759.0, Recovered=37350.0, Active=5919.0, Total_Test_Results=1032929.0}
CoronaDataObject{Province_State='New Jersey', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=535043.0, Deaths=19160.0, Recovered=56109.0, Active=407592.0, Total_Test_Results=7792714.0}
CoronaDataObject{Province_State='New Mexico', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=144142.0, Deaths=2502.0, Recovered=66638.0, Active=75002.0, Total_Test_Results=1983507.0}
CoronaDataObject{Province_State='New York', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=995816.0, Deaths=37973.0, Recovered=102968.0, Active=854693.0, Total_Test_Results=2.5504312E7}
CoronaDataObject{Province_State='North Carolina', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=539545.0, Deaths=6748.0, Recovered=403488.0, Active=129309.0, Total_Test_Results=6944103.0}
CoronaDataObject{Province_State='North Dakota', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=92770.0, Deaths=1316.0, Recovered=89314.0, Active=2147.0, Total_Test_Results=1277930.0}
CoronaDataObject{Province_State='Northern Mariana Islands', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=122.0, Deaths=2.0, Recovered=29.0, Active=91.0, Total_Test_Results=17551.0}
CoronaDataObject{Province_State='Ohio', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=700380.0, Deaths=13766.0, Recovered=556106.0, Active=135312.0, Total_Test_Results=7752314.0}
CoronaDataObject{Province_State='Oklahoma', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=291209.0, Deaths=2489.0, Recovered=255843.0, Active=32604.0, Total_Test_Results=2685254.0}
CoronaDataObject{Province_State='Oregon', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=113909.0, Deaths=1477.0, Recovered=5870.0, Active=106562.0, Total_Test_Results=2652670.0}
CoronaDataObject{Province_State='Pennsylvania', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=653260.0, Deaths=16245.0, Recovered=429017.0, Active=206919.0, Total_Test_Results=7607664.0}
CoronaDataObject{Province_State='Puerto Rico', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=77054.0, Deaths=1521.0, Recovered=66930.0, Active=8603.0, Total_Test_Results=1386353.0}
CoronaDataObject{Province_State='Rhode Island', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=87949.0, Deaths=1944.0, Recovered=5381.0, Active=80791.0, Total_Test_Results=1974498.0}
CoronaDataObject{Province_State='South Carolina', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=307507.0, Deaths=5296.0, Recovered=151084.0, Active=151127.0, Total_Test_Results=3173021.0}
CoronaDataObject{Province_State='South Dakota', Country_Region='US', Last_Update=Sat Jan 02 05:30:44 EST 2021, Confirmed=99164.0, Deaths=1488.0, Recovered=91980.0, Active=5696.0, Total_Test_Results=372640.0}
